journal	articles	shared_ss
Nat Genet	597	99
Hum Mol Genet	273	23
PLoS One	266	15
Nat Commun	250	77
PLoS Genet	219	27
Sci Rep	134	10
Mol Psychiatry	130	11
Am J Hum Genet	109	11
Transl Psychiatry	68	2
Hum Genet	66	0
Nature	58	20
Circ Cardiovasc Genet	55	2
Am J Med Genet B Neuropsychiatr Genet	54	2
BMC Med Genet	48	0
Diabetes	47	9
J Allergy Clin Immunol	46	1
J Hum Genet	45	2
Pharmacogenomics J	45	0
Eur J Hum Genet	43	5
Front Genet	38	2
Ann Rheum Dis	37	4
Blood	34	0
Genet Epidemiol	34	0
Pharmacogenet Genomics	32	0
Proc Natl Acad Sci U S A	31	1
J Med Genet	29	1
Gastroenterology	28	1
N Engl J Med	28	1
Am J Respir Crit Care Med	26	2
Biol Psychiatry	26	1
Clin Cancer Res	24	0
Neurobiol Aging	24	0
J Invest Dermatol	22	1
Cancer Epidemiol Biomarkers Prev	21	0
Clin Pharmacol Ther	21	0
Commun Biol	21	11
Stroke	21	0
Am J Psychiatry	20	1
Arterioscler Thromb Vasc Biol	20	0
Circulation	19	2
J Am Soc Nephrol	19	4
J Natl Cancer Inst	19	0
Ann Neurol	18	0
Diabetologia	18	3
J Clin Endocrinol Metab	18	1
Lancet Neurol	18	1
Science	18	3
BMC Genomics	17	0
Carcinogenesis	17	1
Genes Brain Behav	17	0
Gut	17	1
Int J Cancer	17	0
JAMA	17	2
JAMA Psychiatry	17	2
Obesity (Silver Spring)	17	0
Pharmacogenomics	17	0
Arthritis Rheumatol	16	1
Invest Ophthalmol Vis Sci	16	0
Oncotarget	16	0
Twin Res Hum Genet	16	0
BMC Med Genomics	15	1
Cancer Res	15	0
Brain	14	2
Genes Immun	14	0
J Affect Disord	14	0
J Bone Miner Res	14	0
Neurology	14	1
Nutrients	14	0
Aging (Albany NY)	13	2
Ann Hum Genet	13	0
Atherosclerosis	13	0
Inflamm Bowel Dis	13	0
Addict Biol	12	0
Bone	12	0
Lancet	12	2
Neuropsychopharmacology	12	1
Am J Clin Nutr	11	0
BMC Genet	11	0
Behav Genet	11	1
Circ Genom Precis Med	11	2
Eur Heart J	11	0
Eur Respir J	11	2
Hepatology	11	0
Int J Obes (Lond)	11	2
J Lipid Res	11	0
Lancet Respir Med	11	2
Alcohol Clin Exp Res	10	0
J Am Heart Assoc	10	1
J Dent Res	10	0
J Infect Dis	10	0
Alzheimers Dement	9	2
Clin Exp Allergy	9	0
EBioMedicine	9	0
Gene	9	0
Genome Med	9	3
Hypertension	9	0
J Alzheimers Dis	9	0
J Am Acad Child Adolesc Psychiatry	9	2
J Psychiatr Res	9	0
Nat Neurosci	9	1
Respir Res	9	1
G3 (Bethesda)	8	1
JAMA Ophthalmol	8	1
Kidney Int	8	1
Mol Med	8	0
Schizophr Bull	8	0
Genes (Basel)	7	0
Hum Genomics	7	0
Hum Reprod	7	0
J Clin Invest	7	0
Mol Vis	7	0
Mov Disord	7	2
PLoS Med	7	1
Psychiatr Genet	7	0
Sci Adv	7	2
Thromb Haemost	7	0
Am J Respir Cell Mol Biol	6	0
Arthritis Res Ther	6	1
Br J Haematol	6	0
Cell	6	4
Circ Res	6	1
Clin Genet	6	0
Heart Rhythm	6	0
J Clin Oncol	6	0
J Hepatol	6	1
JAMA Neurol	6	0
Lancet Oncol	6	0
Leukemia	6	0
Nat Hum Behav	6	4
Ophthalmology	6	0
Psychol Med	6	0
Schizophr Res	6	0
Breast Cancer Res	5	0
Breast Cancer Res Treat	5	0
Cancer	5	0
Cancer Sci	5	0
Diabetes Care	5	1
Drug Alcohol Depend	5	0
Immunogenetics	5	0
J Gerontol A Biol Sci Med Sci	5	0
Medicine (Baltimore)	5	0
Mol Genet Genomic Med	5	0
Neuroimage	5	0
PeerJ	5	1
Prog Neuropsychopharmacol Biol Psychiatry	5	0
Psychiatry Res	5	0
Psychophysiology	5	0
Sleep	5	0
World J Biol Psychiatry	5	0
BMC Med	4	2
BMC Proc	4	0
Br J Dermatol	4	0
Circ J	4	0
Clin Infect Dis	4	0
Eur Neuropsychopharmacol	4	0
Exp Dermatol	4	0
Hum Mutat	4	0
Int J Epidemiol	4	1
J Thromb Haemost	4	0
J Urol	4	0
Mol Autism	4	1
Mol Genet Genomics	4	0
Mult Scler	4	0
NPJ Genom Med	4	1
Nat Med	4	2
Neuron	4	1
Pain	4	0
Psychoneuroendocrinology	4	0
Rheumatology (Oxford)	4	0
Acta Neuropathol	3	0
Addiction	3	0
Aging Cell	3	0
Alzheimers Res Ther	3	0
Am Heart J	3	0
Am J Hematol	3	0
Am J Hypertens	3	0
Am J Nephrol	3	1
Ann Clin Transl Neurol	3	0
Autism Res	3	0
BMC Cancer	3	0
BMC Oral Health	3	0
Blood Adv	3	0
Br J Cancer	3	0
Cancer Discov	3	0
Cancer Med	3	0
Cancer Prev Res (Phila)	3	0
Cell Rep	3	1
Clin Gastroenterol Hepatol	3	0
Clin Transl Sci	3	0
Clin Transplant	3	0
Curr Biol	3	1
Elife	3	2
Endocr Relat Cancer	3	0
Environ Health Perspect	3	1
Front Endocrinol (Lausanne)	3	0
Genetics	3	1
Haematologica	3	0
Hum Hered	3	0
Int J Cardiol	3	0
Int J Mol Sci	3	0
J Clin Psychiatry	3	0
J Crohns Colitis	3	1
J Gastroenterol Hepatol	3	0
J Hypertens	3	0
J Neural Transm (Vienna)	3	0
J Neuroimmunol	3	0
J Neurol Neurosurg Psychiatry	3	0
J Pers Med	3	0
J Rheumatol	3	0
J Sleep Res	3	0
J Viral Hepat	3	0
Nephrol Dial Transplant	3	0
Neuro Oncol	3	0
Neurol Genet	3	0
Nicotine Tob Res	3	0
Open Forum Infect Dis	3	1
Parkinsonism Relat Disord	3	0
Prostate	3	0
Psychiatry Investig	3	0
Respir Med	3	0
Sci China Life Sci	3	0
Thorax	3	0
Vaccine	3	0
AIDS	2	0
AIDS Res Hum Retroviruses	2	0
Am J Epidemiol	2	1
Am J Transplant	2	0
Ann Am Thorac Soc	2	0
Ann Transl Med	2	0
BMC Cardiovasc Disord	2	0
BMC Complement Altern Med	2	0
BMJ	2	0
BMJ Open Diabetes Res Care	2	0
Bioinformatics	2	0
Biol Psychol	2	0
Biomed Rep	2	0
Biomed Res Int	2	0
Biomolecules	2	0
Blood Press	2	0
Br J Psychiatry	2	0
Brain Behav Immun	2	0
Calcif Tissue Int	2	0
Cancer Res Treat	2	0
Caries Res	2	0
Cell Syst	2	1
Cereb Cortex	2	0
Chem Senses	2	0
Clin Exp Nephrol	2	0
Clin Orthop Relat Res	2	0
Clin Transl Med	2	0
Croat Med J	2	0
Cytokine	2	0
Diabet Med	2	0
Environ Int	2	0
Eur J Endocrinol	2	0
Exp Clin Psychopharmacol	2	0
Exp Gerontol	2	0
Fertil Steril	2	0
Front Aging Neurosci	2	1
Front Neurol	2	0
Front Oncol	2	0
Front Psychiatry	2	0
Genes Genomics	2	0
Genes Nutr	2	0
Genomics	2	0
Geroscience	2	0
Gynecol Oncol	2	1
Hypertens Res	2	0
Int J Genomics	2	0
Int J Neuropsychopharmacol	2	0
Int J Psychophysiol	2	0
Int J Radiat Oncol Biol Phys	2	0
J Adv Res	2	0
J Appl Physiol (1985)	2	0
J Atheroscler Thromb	2	0
J Autoimmun	2	0
J Biol Chem	2	0
J Bone Miner Metab	2	0
J Cell Mol Med	2	0
J Clin Periodontol	2	0
J Endocrinol Invest	2	0
J Genet	2	0
J Genet Genomics	2	0
J Korean Med Sci	2	0
J Mol Cell Cardiol	2	0
J Mol Med (Berl)	2	0
J Mol Neurosci	2	0
J Neurol Sci	2	0
J Neurosci	2	1
J Nutr	2	0
J Nutrigenet Nutrigenomics	2	0
J Pediatr	2	0
J Psychopharmacol	2	0
J Steroid Biochem Mol Biol	2	0
J Thorac Oncol	2	0
J Transl Med	2	0
JAMA Cardiol	2	0
JAMA Dermatol	2	0
JCI Insight	2	0
Lancet Psychiatry	2	0
Liver Int	2	0
Lung Cancer	2	0
Med Sci Sports Exerc	2	0
Menopause	2	0
Metab Syndr Relat Disord	2	1
Metabolism	2	0
Mol Biol Rep	2	0
Mol Neurobiol	2	0
Neoplasia	2	0
Neurogastroenterol Motil	2	0
Neuroimage Clin	2	0
Neurotox Res	2	0
Nutr Metab Cardiovasc Dis	2	0
OMICS	2	0
Ophthalmic Genet	2	0
Osteoporos Int	2	0
PLoS Pathog	2	0
Pediatr Cardiol	2	0
Pediatrics	2	0
Physiol Genomics	2	0
Pigment Cell Melanoma Res	2	0
Radiother Oncol	2	0
Rejuvenation Res	2	0
Sci Transl Med	2	0
Sleep Med	2	0
Support Care Cancer	2	1
Thyroid	2	0
Toxicol Sci	2	0
Transfusion	2	0
Transl Res	2	0
Wellcome Open Res	2	0
mBio	2	0
Acta Diabetol	1	0
Acta Neuropathol Commun	1	0
Acta Ophthalmol	1	0
Acta Psychiatr Scand	1	0
Aliment Pharmacol Ther	1	0
Allergol Int	1	0
Allergy	1	0
Allergy Asthma Immunol Res	1	0
Alzheimers Dement (Amst)	1	0
Am J Cardiol	1	0
Am J Gastroenterol	1	0
Am J Kidney Dis	1	0
Am J Med Genet A	1	0
Am J Obstet Gynecol	1	0
Am J Perinatol	1	0
Am J Physiol Lung Cell Mol Physiol	1	0
Anaesthesia	1	0
Anesthesiology	1	0
Ann Allergy Asthma Immunol	1	0
Ann Dermatol	1	0
Ann Intern Med	1	0
Ann N Y Acad Sci	1	0
Ann Surg	1	0
Ann Surg Oncol	1	0
Antimicrob Agents Chemother	1	0
Antivir Ther	1	0
Arch Dis Child Fetal Neonatal Ed	1	0
Arthritis Care Res (Hoboken)	1	0
Asian Pac J Cancer Prev	1	0
Aust N Z J Psychiatry	1	0
Autoimmune Dis	1	0
BMC Biol	1	0
BMC Neurol	1	0
BMC Neurosci	1	0
BMC Psychiatry	1	0
BMC Pulm Med	1	1
BMJ Open	1	0
Balkan J Med Genet	1	0
Biogerontology	1	0
Biol Pharm Bull	1	0
Biol Sex Differ	1	0
Biol Sport	1	0
Biom J	1	0
Biomark Med	1	0
Biomark Res	1	0
Biomed Environ Sci	1	0
Biometrics	1	0
Blood Cells Mol Dis	1	0
Bone Marrow Transplant	1	0
Bone Rep	1	0
Br J Clin Pharmacol	1	0
Br J Ophthalmol	1	0
Br J Sports Med	1	0
Brain Behav	1	0
Brain Imaging Behav	1	0
Brain Lang	1	0
Brain Sci	1	0
Brief Bioinform	1	0
Burns	1	1
Can Respir J	1	0
Cancer Biol Ther	1	0
Cancer Epidemiol	1	0
Cancer Immunol Immunother	1	0
Cancer Lett	1	0
Cancer Treat Res Commun	1	0
Cancers (Basel)	1	0
Cardiovasc Diabetol	1	1
Cardiovasc Res	1	0
Cell Metab	1	0
Cell Mol Gastroenterol Hepatol	1	0
Cell Physiol Biochem	1	0
Cells	1	0
Cephalalgia	1	0
Cerebellum	1	0
Chem Res Toxicol	1	0
Chemosphere	1	0
Child Dev	1	0
Chin J Integr Med	1	0
Chin Med J (Engl)	1	0
Circ Arrhythm Electrophysiol	1	0
Circ Heart Fail	1	0
Clin Chem	1	0
Clin Chim Acta	1	0
Clin Exp Hypertens	1	0
Clin Microbiol Infect	1	0
Clin Nutr	1	0
Clin Oral Investig	1	0
Clin Transl Gastroenterol	1	0
Comput Math Methods Med	1	0
Cortex	1	1
Curr Alzheimer Res	1	0
Demography	1	0
Depress Anxiety	1	0
Diabetes Metab Res Rev	1	0
Diabetes Metab Syndr Obes	1	0
Diabetes Res Clin Pract	1	0
Dig Dis Sci	1	0
Drug Dev Res	1	0
ESC Heart Fail	1	0
Endocrinol Metab (Seoul)	1	0
Environ Health	1	0
Environ Mol Mutagen	1	0
Environ Res	1	0
Epidemiol Health	1	0
Epilepsia	1	0
Epilepsia Open	1	0
Epilepsy Res	1	0
Eur J Appl Physiol	1	0
Eur J Cancer Prev	1	0
Eur J Drug Metab Pharmacokinet	1	0
Eur J Epidemiol	1	1
Eur J Gastroenterol Hepatol	1	0
Eur J Haematol	1	0
Eur J Med Genet	1	0
Eur J Obstet Gynecol Reprod Biol	1	0
Eur J Pain	1	0
Eur Psychiatry	1	0
Eur Urol	1	0
Exp Biol Med (Maywood)	1	0
Exp Eye Res	1	0
Exp Mol Med	1	0
Exp Ther Med	1	0
Expert Opin Drug Saf	1	0
F1000Res	1	0
FASEB J	1	0
Front Hum Neurosci	1	0
Front Immunol	1	0
Front Med	1	0
Front Microbiol	1	0
Front Mol Neurosci	1	0
Front Public Health	1	0
Genet Mol Res	1	0
Genome Biol	1	1
Genome Biol Evol	1	0
Genome Res	1	0
Georgian Med News	1	0
Gigascience	1	0
Gut Liver	1	0
Gynecol Obstet Invest	1	0
Heart	1	0
Heart Surg Forum	1	0
Hematol Oncol	1	0
Heredity (Edinb)	1	0
High Alt Med Biol	1	0
Hum Brain Mapp	1	0
Immunol Res	1	0
In Vivo	1	0
Infect Immun	1	0
Inflammation	1	0
Int Arch Allergy Immunol	1	0
Int Arch Occup Environ Health	1	0
Int Clin Psychopharmacol	1	0
Int J Chron Obstruct Pulmon Dis	1	0
Int J Eat Disord	1	0
Int J Immunogenet	1	0
Int J Infect Dis	1	0
Int J Med Sci	1	0
Int J Mol Med	1	0
Int J Paediatr Dent	1	0
Int J Rheum Dis	1	0
Int J Sports Med	1	0
Int J Sports Physiol Perform	1	0
Int Psychogeriatr	1	0
J Acad Nutr Diet	1	0
J Altern Complement Med	1	0
J Am Coll Cardiol	1	0
J Am Med Inform Assoc	1	0
J Androl	1	0
J Antimicrob Chemother	1	0
J Arthroplasty	1	0
J Assoc Res Otolaryngol	1	0
J Biol Rhythms	1	0
J Biomol Struct Dyn	1	0
J Bone Joint Surg Am	1	0
J Cachexia Sarcopenia Muscle	1	0
J Cereb Blood Flow Metab	1	0
J Clin Lipidol	1	0
J Dermatol	1	0
J Dermatol Sci	1	0
J Diabetes Complications	1	0
J Eur Acad Dermatol Venereol	1	0
J Expo Sci Environ Epidemiol	1	0
J Foot Ankle Res	1	0
J Gastroenterol	1	0
J Gen Virol	1	0
J Hand Surg Am	1	0
J Headache Pain	1	1
J Immunol Res	1	0
J Innate Immun	1	0
J Interferon Cytokine Res	1	0
J Korean Neurosurg Soc	1	0
J Matern Fetal Neonatal Med	1	0
J Med Virol	1	0
J Neurol	1	0
J Neuromuscul Dis	1	0
J Neuroophthalmol	1	0
J Neurovirol	1	0
J Nutr Intermed Metab	1	0
J Obes	1	0
J Occup Health	1	0
J Oncol	1	0
J Orthop Res	1	0
J Pediatr Gastroenterol Nutr	1	0
J Pediatr Orthop	1	0
J Periodontal Res	1	0
J Psychiatry Neurosci	1	0
J Sex Med	1	0
J Shoulder Elbow Surg	1	0
J Speech Lang Hear Res	1	0
J Strength Cond Res	1	0
J Stud Alcohol Drugs	1	0
J Thromb Thrombolysis	1	0
J Trauma Acute Care Surg	1	0
J Vasc Surg	1	0
JAMA Netw Open	1	0
JAMA Otolaryngol Head Neck Surg	1	0
Kidney Int Suppl	1	0
Lancet Diabetes Endocrinol	1	0
Lancet Infect Dis	1	0
Leuk Res	1	0
Lifestyle Genom	1	0
Lipids Health Dis	1	0
Lupus	1	0
Maturitas	1	0
Mayo Clin Proc	1	0
Mech Ageing Dev	1	0
Med Chem	1	0
Med Sci Monit	1	0
Mediators Inflamm	1	0
Melanoma Res	1	0
Microbiome	1	0
Mil Med	1	0
Mind Brain Educ	1	0
Mitochondrion	1	0
Mol Biol (Mosk)	1	0
Mol Brain	1	0
Mol Endocrinol	1	0
Mol Genet Metab Rep	1	0
Mol Med Rep	1	0
Mol Metab	1	0
Mol Neurodegener	1	0
Mol Nutr Food Res	1	0
Mol Pain	1	0
Mult Scler Relat Disord	1	0
Muscle Nerve	1	0
Mutagenesis	1	0
Nagoya J Med Sci	1	0
Nat Metab	1	1
Nat Microbiol	1	1
Neurobiol Dis	1	0
Neurodegener Dis	1	0
Neurogenetics	1	0
Neuropsychobiology	1	0
Neurosci Lett	1	0
Nutr Diabetes	1	0
Nutr J	1	0
Nutr Res Pract	1	0
Obstet Gynecol	1	0
Ocul Immunol Inflamm	1	0
Oncol Lett	1	0
Oral Dis	1	0
Oral Oncol	1	0
Orphanet J Rare Dis	1	0
PLoS Comput Biol	1	1
Pac Symp Biocomput	1	0
Pain Med	1	0
Pain Res Manag	1	0
Pancreatology	1	0
Papillomavirus Res	1	1
Pediatr Allergy Immunol	1	0
Pediatr Hematol Oncol	1	0
Pediatr Res	1	0
Pflugers Arch	1	0
Placenta	1	0
Plast Reconstr Surg	1	0
Platelets	1	0
Prostaglandins Leukot Essent Fatty Acids	1	0
Psychopharmacology (Berl)	1	0
Psychother Psychosom	1	0
Reprod Sci	1	0
Respiration	1	0
Respirology	1	0
Rheumatol Int	1	0
Scand J Gastroenterol	1	0
ScientificWorldJournal	1	0
Transfus Med Hemother	1	0
Transplantation	1	0
Turk J Pediatr	1	0
Viral Immunol	1	0
Yonsei Med J	1	0
mSphere	1	0
mSystems	1	0
